Title,Series,Creator,ISBN,Language,Content access levels,Subscription
1001 Cranes,,"Hirahara, Naomi",9780375848810,English,Juvenile,No
101 Amazing Harry Potter Facts,,"Goldstein, Jack",9781782343554,English,Juvenile,No
101 Best Businesses for Pet Lovers: What You Need to Know about Starting and Succeeding in a Pet Business of Your Own,,"Nigro, Joseph",9781572487123,English,Young adult,No
101 Easy to Read Poems,,"Ross, Dennis J.",9781412229401,English,Adult,No
101 Science Games: Learning Science with Fun,,"Utial, Ivar",9789350572023,English,Juvenile,No
11 Birthdays (unabridged),Willow Falls,"Mass, Wendy",9781338241082,English,Juvenile,No
12 Days of Christmas,,"Tanner, Suzy-Jane",9781849898560,English,Juvenile,No
12 Dogs of Christmas,,"Leiva, Steven Paul",9781418568580,English,Juvenile,No
13 Day War: Book 6 of Demonstone Chronicles,Demonstone Chronicles,"Tuttle, Richard S.",,English,Young adult,No
13 Gifts: A Wish Novel (unabridged),Willow Falls,"Mass, Wendy",9781338241167,English,Juvenile,No
150 Best Jobs for a Better World,Best Jobs,"JIST, Editors at",9781593575298,English,Young adult,No
17 Things I'm Not Allowed to Do Anymore,,"Offill, Jenny",9780307553973,English,Juvenile,No
20 Fun Facts About Stingrays,Fun Fact File: Fierce Fish!,"Niver, Heather Moore",,English,Juvenile,No
"20,000 Leagues Under the Sea",Graphic Revolve: Common Core Editions,"Verne, Jules",9781496501387,English,Young adult,No
"20,000 Leagues under the Sea",Voyages Extraordinaires,"Verne, Jules",9781620111659,English,Young adult,Yes
24 Hours in Nowhere (unabridged),,"Bowling, Dusti",9781515938019,English,Juvenile,Yes
"365 Ways to Live Green for Kids: Saving the Environment At Home, School, Or At Play—Every Day!",,"Amsel, Sheri",9781440520181,English,Juvenile,No
501 Astonishing Facts,,"Board, Editorial",9789350572061,English,Juvenile,No
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives (unabridged),,"Slater, Dashka",9781501977381,English,Young adult,No
5-Minute Spider-Man Stories: Spider-Man and his Amazing Friends,Spider-Man,Marvel Press,9781423188476,English,Juvenile,No
The 5th Wave (unabridged),,"Yancey, Rick",9781666584189,English,Young adult,No
The 5th Wave,The 5th Wave,"Yancey, Rick",9781101598962,English,Young adult,No
"A to Z Mysteries, Books A-C: The Absent Author / The Bald Bandit / The Canary Caper (unabridged)",A to Z Mystery,"Roy, Ron",9780739360125,English,Juvenile,No
"A to Z Mysteries, Books D-G: The Deadly Dungeon / The Empty Envelope / The Falcon's Feathers / The Goose's Gold (unabridged)",A to Z Mystery,"Roy, Ron",9780739360132,English,Juvenile,No
A-B-A-B-A: A Book of Pattern Play,Math Is CATegorical,"Cleary, Brian P.",9780761363408,English,Juvenile,No
The ABCs of Animals,The ABCs of the Natural World,"Kalman, Bobbie",9781427197795,English,Juvenile,No
The ABCs of Continents,The ABCs of the Natural World,"Kalman, Bobbie",9780778788935,English,Juvenile,No
The ABCs of Habitats,The ABCs of the Natural World,"Kalman, Bobbie",9781427197801,English,Juvenile,No
The ABCs of Insects,The ABCs of the Natural World,"Kalman, Bobbie",9780778788959,English,Juvenile,No
"ABC's of Origami: Paper Folding for Children: Easy Origami Book with 26 Projects: Wonderful for Origami Beginners, Kids & Parents",,"Sarasas,Claude",9781462907885,English,Juvenile,No
Abe Lincoln at Last!,Magic Tree House: Merlin Missions,"Pope Osborne, Mary",9780375898778,English,Juvenile,No
Abelard,,"Dillies, Renaud",9781561637096,English,Young adult,No
Abercrombie Zombie,,"Snow, K.Z.",9781613720868,English,Adult,No
About Fish / Sobre los peces: A Guide for Children / Una guía para niños,About. . .,"Sill, Cathryn",9781682631133,Spanish; Castilian,Juvenile,No
About Mammals (Sobre los mamiferos),About. . .,"Sill, Cathryn",9781682630280,Spanish; Castilian,Juvenile,No
Abraham Lincoln: A Nonfiction Companion to Magic Tree House #47: Abe Lincoln at Last!,Magic Tree House Fact Tracker,"Pope Osborne, Mary",9780375988615,English,Juvenile,No
Abraham Lincoln & Frederick Douglass: The Story Behind an American Friendship,,"Freedman, Russell",9780547822860,English,Young adult,No
Abraham Lincoln for Kids: His Life and Times with 21 Activities,For Kids series,"Herbert, Janis",9781556528309,English,Juvenile,No
"Abraham Lincoln, Vampire Hunter: Vampire Hunter",Henry Sturges,"Grahame-Smith, Seth",9780446571852,English,Adult,No
The Absent Author,A to Z Mystery,"Roy, Ron",9780307510129,English,Juvenile,No
Absolutely Lucy,Stepping Stones,"Cooper, Ilene",9780307510136,English,Juvenile,No
The Absolutely True Diary of a Part-Time Indian (National Book Award Winner),,"Alexie, Sherman",9780316219303,English,Young adult,No
"Abuela, Don't Forget Me (unabridged)",,"Ogle, Rex",9781705078655,English,Young adult,No
An Abundance of Katherines,,"Green, John",9781440629792,English,Adult,No
The Academy,Steel Trapp,"Pearson, Ridley",9781423141181,English,Juvenile,No
Acceleration,,"McNamee, Graham",9780307510228,English,Adult,No
The Accident,,"Hoh, Diane",9781453248126,English,Young adult,No
The Accident Season,,"Fowley-Doyle, Moïra",9780698405035,English,Adult,No
The Accidental Genius of Weasel High,,"Detorie, Rick",9781606842447,English,Young adult,No
Accidental Love (unabridged),,"Soto, Gary",9781624605079,English,Young adult,No
Accidental Love,,"Soto, Gary",9780547536781,English,Young adult,No
Ack As In Snack,Word Families Set 6,"Scheunemann, Pam",9781617585449,English,Juvenile,No
Across the Universe,Across the Universe,"Revis, Beth",9781101486085,English,Young adult,No
Ad As In Dad,Word Families Set 1,"Salzmann, Mary Elizabeth",9781617585098,English,Juvenile,No
"Ada Twist, Scientist",Questioneers Picture Books,"Beaty, Andrea",9781613129685,English,Juvenile,No
Adam Canfield of the Slash,Adam Canfield,"Winerip, Michael",9780763654269,English,Juvenile,No
Adaptation and Survival,The Web of Life,"Snedden, Robert",9781410948892,English,Juvenile,No
Adapting to Droughts,Science to the Rescue: Adapting to Climate Change,"Gerber, Larry",,English,Juvenile,No
Addition Flashcards: Addition Facts with Critters,Learning Essentials Math & Reading Flashcard,"Stanek, William Robert",9781575452777,English,Juvenile,No
Adrian Peterson,Amazing Athletes,"Savage, Jeff",9780761362418,English,Juvenile,No
Adventure in the Fifth Dimension,,"Leinster, Murray",9781612101422,English,Adult,No
"Adventure of the Opera Ghost, Issue 1",,"Jones, Steve",,English,Adult,No
"Adventure of the Opera Ghost, Issue 2",,"Jones, Steve",,English,Adult,No
Adventures of a Cat-Whiskered Girl,,"Pinkwater, Daniel",9780547488219,English,Juvenile,No
The Adventures of a Girl Called Bicycle,,"Uss, Christina",9780823441082,English,Juvenile,No
Adventures of Captain Underpants,Captain Underpants,"Pilkey, Dav",9781339009742,English,Juvenile,No
The Adventures of Huckleberry Finn (unabridged),The Adventures of Tom and Huck,"Twain, Mark",9781483088075,English,Young adult,No
Adventures of Huckleberry Finn,Calico Illustrated Classics,"Twain, Mark",9781616411565,English,Young adult,No
The Adventures of Pinocchio,,"Collodi, Carlo",9781620111505,English,Juvenile,Yes
The Adventures of Primrose Perfect,,"Thomson-Swift, Joe",9781908105158,English,Juvenile,No
The Adventures of Robin Hood,,"Pyle, Howard",9781554435821,English,Juvenile,No
Adventures of Robinson Crusoe,Calico Illustrated Classics,"Defoe, Daniel",9781616411572,English,Young adult,No
The Adventures of Sherlock Holmes,Sherlock,"Doyle, Sir Arthur Conan",9781620115091,English,Young adult,Yes
The Adventures of the Bubblegum Boy,,"Srivastav, Neera  Maini",9788122311594,English,Juvenile,No
The Adventures of Tom Sawyer (unabridged),The Adventures of Tom and Huck,"Twain, Mark",,English,Adult,Yes
The Adventures of Tom Sawyer,The Adventures of Tom and Huck,"Twain, Mark",0594091489,English,Young adult,No
Adventures of Tom Sawyer,Calico Illustrated Classics,"Twain, Mark",9781616411589,English,Young adult,No
The Adventures of Tom Sawyer,The Adventures of Tom and Huck,"Twain, Mark",9781620116173,English,Young adult,Yes
Adventurous to Zealous: All About Me from A to Z,Let's Learn A to Z,"Dolphin, Colleen",9781617146107,English,Juvenile,No
Aesop's Fables (unabridged),Children's Classics in Audio,"Aesop,",,English,Juvenile,No
Aesop's Fables,,"Aesop,",1595407006,English,Juvenile,No
Aesop's Fables,,"Aesop,",9781620117491,English,Juvenile,Yes
The African Elephant,Nature's Deadliest,"Sexton, Colleen",9781612115528,English,Juvenile,No
After,,"Chalifour, Francis",9781770490543,English,Young adult,No
After Eli,,"Rupp, Rebecca",9780763661946,English,Young adult,No
After the Sirens (unabridged),,"Farrell, Sharon",9781665066662,English,Adult,Yes
After the Sirens,,"Farrell, Sharon",9781665068451,English,Adult,Yes
Afternoon on the Amazon,Magic Tree House,"Pope Osborne, Mary",9780375894237,English,Juvenile,No
Aftershocks,,"Reichardt, Marisa",9781683359807,English,Adult,Yes
Ag As In Flag,Word Families Set 1,"Salzmann, Mary Elizabeth",9781617585104,English,Juvenile,No
The Agency: A Spy in the House,The Agency,"Lee, Y. S.",9780763651824,English,Young adult,No
Agent Angus,,"Denman, K.L.",9781459801059,English,Juvenile,No
AI in Space,AI World,"Chambers, Ford",9798892135702,English,Juvenile,Yes
Aileen the Alien: An Encounter With Another World,,"MacLaren-Scott, Andrew",9781782342359,English,Adult,No
Ain As In Train,Word Families Set 8,"Molter, Carey",9781617585586,English,Juvenile,No
Airborn: A Printz Honor Winner,Matt Cruse,"Oppel, Kenneth",9780061968327,English,Young adult,No
Aircraft,Origami Fun,"Hardyman, Robyn",9781681034379,English,Juvenile,Yes
Aircraft Carriers,Built for Battle,"Bodden, Valerie",9781566600750,English,Juvenile,No
Airedale to Zuchon: Dogs from A to Z,Let's Learn A to Z,"Salzmann, Mary Elizabeth",9781617146114,English,Juvenile,No
Airman,,"Colfer, Eoin",9781423132080,English,Juvenile,No
Airplanes,Mighty Machines,"Fleming, Dana",9781612110165,English,Juvenile,No
Ake As In Cake,Word Families Set 8,"Molter, Carey",9781617585593,English,Juvenile,No
Akhenaten: Son of the Sun,,"Caldecott, Moyra",1899142606,English,Adult,No
Alacazam [The Spellbound Trilogy Book 3],,"Plummer, Rhonda",,English,Adult,No
The Alamo,Famous Places,"Nelson, Kristin L.",9780761362913,English,Juvenile,No
Alamut,Alamut,"Tarr, Judith",9781611380262,English,Adult,No
Alanna: The First Adventure (unabridged),Song of the Lioness,"Pierce, Tamora",9780739348123,English,Young adult,No
Albert Einstein Was a Dope?,Wait! What?,"Gutman, Dan",9781324015598,English,Juvenile,Yes
Alcatraz to Zanzibar: Famous Places from A to Z,Let's Learn A to Z,"Dolphin, Colleen",9781617146121,English,Juvenile,No
The Alchemist (unabridged),,"Coelho, Paulo",9780060879075,English,Young adult,No
The Alchemist,,"Coelho, Paulo",9780062416216,English,Young adult,No
Alchemy and Meggy Swann,,"Cushman, Karen",9780547487410,English,Juvenile,No
"Alchemy, Book Two of the Mercian Trilogy",,"Wignall, K. J.",9781512403282,English,Adult,No
The Alchemyst,The Secrets of the Immortal Nicholas Flamel,"Scott, Michael",9780375843174,English,Young adult,No
Aldo's Fantastical Movie Palace,,"Friesen, Jonathan",9780310401315,English,Young adult,No
"Alex and Eliza, A Love Story",Alex & Eliza,"de la Cruz, Melissa",9781524739638,English,Young adult,No
Alex and the Other,Weird Stories Gone Wrong,"Dowding, Philippa",9781459740655,English,Juvenile,Yes
"Alex, Approximately (unabridged)",,"Bennett, Jenn",9781541490383,English,Adult,No
Alfred,Under Touley Bridge,"Frances, Mary",9781877546952,English,Adult,No
Alice + Freda Forever: A Murder in Memphis,,"Coe, Alexis",9781936976614,English,Adult,No
Alice in Wonderland,Stepping Stones,"Carroll, Lewis",9780375898129,English,Juvenile,No
Alice in Wonderland,Alice in Wonderland,"Carroll, Lewis",9781620114681,English,Juvenile,Yes
Alice in Wonderland: A Graphic Novel,Classic Fiction,"Carroll, Lewis",9781434218179,English,Juvenile,No
Alice in Zombieland,,"Carroll, Lewis",9781402256233,English,Young adult,No
Alice in Zombieland,The White Rabbit Chronicles,"Showalter, Gena",9781460318157,English,Young adult,No
Alice-Miranda at School,Alice-Miranda,"Harvey, Jacqueline",9780375898587,English,Juvenile,No
Alice-Miranda on Vacation,Alice-Miranda,"Harvey, Jacqueline",9780375898594,English,Juvenile,No
Alice's Adventures In Wonderland By Lewis Carroll: (Adapted by Joseph Cowley),,"Cowley, Joseph",9781475932775,English,Juvenile,No
Alida's Song,Alida,"Paulsen, Gary",9780307512161,English,Juvenile,No
Alien Contact,Alien Agent,"Service, Pamela F.",9781467758819,English,Juvenile,No
