Title,Series,Creator,ISBN,Language,Content access levels,Subscription
The Book of Blood: From Legends and Leeches to Vampires and Veins,,"Newquist, HP",9780547822693,English,Young adult,No
The Book of Boy: A Newbery Honor Award Winner,,"Murdock, Catherine Gilbert",9780062686220,English,Juvenile,No
Book of Horrors,Nightmare Hall,"Hoh, Diane",9781453248096,English,Adult,No
The Book of One Hundred Truths,,"Schumacher, Julie",9780375849206,English,Young adult,No
The Book Thief (unabridged),,"Zusak, Markus",9780739348345,English,Young adult,No
The Book Thief,,"Zusak, Markus",9780307433848,English,Young adult,No
The Book You're Not Supposed to Have,Timmy Failure,"Pastis, Stephan",9780763692216,English,Juvenile,No
Bookish Boyfriends: A Date with Darcy,,"Schmidt, Tiffany",9781683352662,English,Young adult,No
The Books of Ember Omnibus,Ember,"DuPrau, Jeanne",9780449810330,English,Juvenile,No
Boom!,,"Haddon, Mark",9780375893643,English,Juvenile,No
Boots on the Ground: America's War in Vietnam,,"Partridge, Elizabeth",9780425291788,English,Young adult,No
The Borden Murders: Lizzie Borden and the Trial of the Century,,"Miller, Sarah",9780553498103,English,Young adult,No
The Borrowers,The Borrowers,"Norton, Mary",9780547537702,English,Juvenile,No
The Borrowers Afield,The Borrowers,"Norton, Mary",9780547537719,English,Juvenile,No
The Borrowers Afloat,The Borrowers,"Norton, Mary",9780547537726,English,Juvenile,No
The Borrowers Aloft: Plus the short tale Poor Stainless,The Borrowers,"Norton, Mary",9780547537733,English,Juvenile,No
Boss of Lunch,Junie B. Jones,"Park, Barbara",9780375894435,English,Juvenile,No
A Bottle in the Gaza Sea,,"Zenatti, Valerie",9781599905051,English,Young adult,No
A Boy Called Dickens,,"Hopkinson, Deborah",9780375987403,English,Juvenile,No
The Boy in the Striped Pajamas (unabridged),,"Boyne, John",9780739348284,English,Young adult,No
The Boy in the Striped Pajamas,,"Boyne, John",9780307494238,English,Young adult,No
Boy Nobody,Boy Nobody,"Zadoff, Allen",9780316243896,English,Young adult,No
Boy Who Cried Wolf,Short Tales Fables,"Worley, Rob M.",9781616412814,English,Juvenile,No
The Boy Who Lost His Face,,"Sachar, Louis",9780307797131,English,Juvenile,No
"Boying Up: How to Be Brave, Bold and Brilliant",,"Bialik, Mayim",9780525515982,English,Young adult,No
The Boys Who Challenged Hitler: Knud Pedersen and the Churchill Club,,"Hoose, Phillip",9780374302726,English,Young adult,No
Brain Jack,,"Falkner, Brian",9780375893230,English,Young adult,No
Brawl of the Wild,Dog Man,"Pilkey, Dav",9781338236583,English,Juvenile,No
The Bread Pet,,"DePalma, Kate",9781646860821,English,Juvenile,Yes
Breaking Dawn,The Twilight Saga,"Meyer, Stephenie",9780316032834,English,Young adult,No
Breaking Through,Circuit,"Jiménez, Francisco",9780547349824,English,Juvenile,No
A Breath of Eyre,Unbound,"Mont, Eve Marie",9780758277770,English,Young adult,No
Brendan Buckley's Universe and Everything in It,Brendan Buckley,"Frazier, Sundee T.",9780375890574,English,Juvenile,No
Brett Favre,Amazing Athletes,"Savage, Jeff",9780761366553,English,Juvenile,No
Brian's Hunt,Hatchet,"Paulsen, Gary",9780375890475,English,Young adult,No
Brian's Return,Hatchet,"Paulsen, Gary",9780307433190,English,Young adult,No
The Brides of Rollrock Island,,"Lanagan, Margo",9780375989308,English,Adult,No
Bridge to Terabithia (unabridged),,"Peterson, Katherine",9780061126093,English,Juvenile,No
Bright Young Things,Bright Young Things,"Godbersen, Anna",9780062023919,English,Young adult,No
Brisingr,Inheritance Cycle,"Paolini, Christopher",9780375891410,English,Young adult,No
Broken Things,,"Oliver, Lauren",9780062224156,English,Young adult,No
The Brothers Karamazov,,"Dostoyevsky, Fyodor",9781620124628,English,Young adult,Yes
Brown Bats,Animals of the Forest,"Perish, Patrick",9781648344145,English,Juvenile,Yes
Bucking the Sarge,,"Curtis, Christopher Paul",9780307567253,English,Young adult,No
"Bud, Not Buddy: (Newbery Medal Winner)",,"Curtis, Christopher Paul",9780385729956,English,Juvenile,No
"Bud, Not Buddy: Language Kit",Novel Study Guides,"Goyetche, Marie-Helen",9781553198703,English,Adult,No
Buffalo Before Breakfast,Magic Tree House,"Pope Osborne, Mary",9780375894756,English,Juvenile,No
Bugs That Make Your Computer Crawl: What Are Computer Bugs? (unabridged),Coding Is CATegorical,"Cleary, Brian P.",9781541575004,English,Juvenile,Yes
Bulldozers,Mighty Machines,"Fleming, Dana",9781612110219,English,Juvenile,No
Bullies Are a Pain in the Brain,Laugh & Learn,"Romain, Trevor",9781575425702,English,Juvenile,No
"Bullying: Teens Write About the Pain, the Causes, and the Cure",,Youth Communication,9781938970467,English,Young adult,Yes
Burmese Pythons,Animal Invaders,"Shaffer, Jody Jensen",9781645195528,English,Juvenile,Yes
Burned: Burned,Pretty Little Liars,"Shepard, Sara",9780062081940,English,Adult,No
Burro's Tortillas,,"Fields, Terri",9781643510200,English,Juvenile,No
Butterflies for Kids: A Junior Scientist's Guide to the Butterfly Life Cycle and Beautiful Species to Discover,Junior Scientists,"Davidson, Lauren",9781647395780,English,Juvenile,Yes
Butterflies on the First Day of School,,"Silvestro, Annie",9781454941361,English,Juvenile,No
Butterfly,Amicus Readers: Animal Lifecycles (Level 2),"Perkins, Wendy",9781607532620,English,Juvenile,No
The Butterfly Clues,,"Ellison, Kate",9781606842683,English,Adult,No
The Button War: A Tale of the Great War,,Avi,9780763699260,English,Juvenile,No
By Your Side,,"West, Kasie",9780062455871,English,Young adult,No
Bye for Now: A Wishers Story,Wishers,"Churchyard, Kathleen",9781606842782,English,Juvenile,No
Cabin Fever,Diary of a Wimpy Kid,"Kinney, Jeff",9781613124550,English,Juvenile,No
Caillou: Merry Christmas!,Confetti,"Mercier, Johanne",9782894508756,English,Juvenile,No
Calamity Jane,On My Own Folklore,"Krensky, Stephen",9780822538172,English,Juvenile,No
Caleb's Hanukkah,Fall and Winter Holidays,"Bullard, Lisa",9781467701198,English,Juvenile,No
Caleb's Story,"Sarah, Plain and Tall","MacLachlan, Patricia",9780062285713,English,Juvenile,No
Calico's Curious Kittens,,"Tildes, Phyllis Limbacher",9781607341741,English,Juvenile,No
Call of the Wild,Calico Illustrated Classics,"London, Jack",9781616413231,English,Young adult,No
The Call of the Wild,,"London, Jack",9781620114483,English,Young adult,Yes
Call the Shots,,"Calame, Don",9780763661854,English,Adult,No
Calling on Dragons: Calling on Dragons (unabridged),The Enchanted Forest Chronicles,"Wrede, Patricia C.",9780739355695,English,Juvenile,No
Camaro,Ultimate Cars Set 2,"Wheeler, Jill C.",9781617143977,English,Juvenile,No
Camels,Animal Safari,"Borgert-Spaniol, Megan",9781612115672,English,Juvenile,No
Camille McPhee Fell Under the Bus,,"Tracy, Kristen",9780375890987,English,Juvenile,No
Camp,Click,"Miller, Kayla",9780358168508,English,Juvenile,No
Camp Alien,Alien Agent,"Service, Pamela F.",9781467766609,English,Juvenile,No
Camp Panda: Helping Cubs Return to the Wild,,"Thimmesh, Catherine",9781328476654,English,Juvenile,No
Can I Be Your Dog?,,"Cummings, Troy",9780399554544,English,Juvenile,No
"Can Lightning Strike the Same Place Twice?: And Other Questions about Earth, Weather, and the Environment",Is That a Fact?,"Mattern, Joanne",,English,Juvenile,No
The Canary Caper,A to Z Mystery,"Roy, Ron",9780307516428,English,Juvenile,No
"Candide: Or, Optimism",,Voltaire,9781620114223,English,Young adult,Yes
Cannons at Dawn (Dear America) (unabridged),Dear America,"Gregory, Kristiana",9781338246780,English,Juvenile,No
Canoe Days,,"Paulsen, Gary",9780307974723,English,Juvenile,No
The Canterbury Tales,,"Chaucer, Geoffrey",9781620131138,English,Young adult,Yes
Canyons,,"Paulsen, Gary",9780307804259,English,Young adult,No
Captain Small Pig,,"Waddell, Martin",9781682630945,English,Juvenile,No
Captain Underpants and the Attack of the Talking Toilets,Captain Underpants,"Pilkey, Dav",9781338615104,English,Juvenile,No
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets",Captain Underpants,"Pilkey, Dav",9781338615159,English,Juvenile,No
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Captain Underpants,"Pilkey, Dav",9781338615111,English,Juvenile,No
Captain Underpants and the Perilous Plot of Professor Poopypants,Captain Underpants,"Pilkey, Dav",9781338615128,English,Juvenile,No
Captain Underpants and the Wrath of the Wicked Wedgie Woman,Captain Underpants,"Pilkey, Dav",9781338615135,English,Juvenile,No
The Captive: The Captive (unabridged),The Secret Circle,"Smith, L. J.",9780062125446,English,Adult,No
Caraval (unabridged),Caraval,"Garber, Stephanie",9781427279750,English,Adult,No
Caraval,Caraval,"Garber, Stephanie",9781250095275,English,Young adult,No
The Carbon Diaries 2015,,"Lloyd, Saci",9780823426898,English,Adult,No
"Cardcaptor Sakura Omnibus, Volume 1: Crowbar Medicine",Cardcaptor Sakura,CLAMP,9781630080518,English,Young adult,No
"Cardcaptor Sakura Omnibus, Volume 2: The Shape of Things to Come",Cardcaptor Sakura,CLAMP,9781630080525,English,Young adult,No
Cardinals,Backyard Birds,"Fleming, Dana",9781648343995,English,Juvenile,Yes
"The Cardturner: A Novel About a King, a Queen, and a Joker",,"Sachar, Louis",9780375896477,English,Young adult,No
Caring Is Creepy,,"Zimmerman, David",9781569479780,English,Adult,No
Carnegie's Maid: A Novel,,"Benedict, Marie",9781492646631,English,Adult,No
The Carnival at Bray,,"Foley, Jessie Ann",9780989515566,English,Adult,No
Carnival at Candlelight,Magic Tree House: Merlin Missions,"Pope Osborne, Mary",9780375894558,English,Juvenile,No
The Carpenter's Gift: A Christmas Tale about the Rockefeller Center Tree,,"Rubel, David",9780375989339,English,Juvenile,No
Carry On (unabridged),Simon Snow,"Rowell, Rainbow",9781427262035,English,Adult,No
Carter's Christmas,Fall and Winter Holidays,"Bullard, Lisa",9781467701204,English,Juvenile,No
Carve the Mark (unabridged),Carve the Mark,"Roth, Veronica",9780062642004,English,Adult,No
Carve the Mark,Carve the Mark,"Roth, Veronica",9780062348654,English,Adult,No
The Case for Jamie,Charlotte Holmes,"Cavallaro, Brittany",9780062398994,English,Adult,No
"The Case of the Case of Mistaken Identity: Brixton Brothers, Book 1 (unabridged)",Brixton Brothers,"Barnett, Mac",9780307710437,English,Juvenile,No
"The Case of the Diamonds in the Desk: Milo & Jazz Mystery Series, Book 8",Milo & Jazz Mystery,"Montgomery, Lewis B.",9781575656694,English,Juvenile,No
The Case of the Lost Boy,The Buddy Files,"Butler, Dori Hillestad",9781453254578,English,Juvenile,No
Case of the School Ghost,The Buddy Files,"Butler, Dori Hillestad",9781453254622,English,Juvenile,No
The Case of the Strange Splash,Detective Duck,"Winkler, Henry",9781647003388,English,Juvenile,Yes
The Case of the Vanishing Golden Frogs: A Scientific Mystery,Sandra Markle's Science Discoveries,"Markle, Sandra",9781467769846,English,Juvenile,No
Castle of Lies,,"Burkhart, Kiersi",9781541541856,English,Adult,Yes
The Cat in the Hat,Classic Seuss,Dr. Seuss,9780385372114,English,Juvenile,No
The Cat in the Hat and Other Dr. Seuss Favorites (unabridged),Classic Seuss,Dr. Seuss,9780739353455,English,Juvenile,No
The Cat in the Hat Comes Back,Classic Seuss,Dr. Seuss,9780385383103,English,Juvenile,No
The Cat Stole My Pants,Timmy Failure,"Pastis, Stephan",9780763697976,English,Juvenile,No
Catcall,,"Newbery, Linda",9780375891526,English,Young adult,No
Catching Fire (unabridged),The Hunger Games,"Collins, Suzanne",9781338245097,English,Young adult,No
Catching Fire,The Hunger Games,"Collins, Suzanne",9780545227247,English,Young adult,No
Catching Jordan,Hundred Oaks,"Kenneally, Miranda",9781402262296,English,Adult,Yes
Cate of the Lost Colony,,"Klein, Lisa",9781599906515,English,Young adult,No
Caterpillar Summer,,"McDunn, Gillian",9781681197449,English,Juvenile,No
"Catherine, Called Birdy: A Newbery Honor Award Winner",,"Cushman, Karen",9780547350103,English,Young adult,No
Cats,Favorite Pets,"Fleming, Dana",9781648343063,English,Juvenile,Yes
Cats vs. Dogs,"National Geographic Kids Readers, Level 3","Carney, Elizabeth",9781426311697,English,Juvenile,No
"Catwalk Bundle: Includes Three Novels: Catwalk, Strike a Pose, and Rip the Runway",Catwalk,"Gregory, Deborah",9780375897474,English,Young adult,No
Catwoman: Soulstealer,DC Icons,"Maas, Sarah J.",9780399549717,English,Young adult,No
Caught by the Sea: My Life on Boats,,"Paulsen, Gary",9780307433213,English,Young adult,No
The Cave of Horror,,"Meek, Capt SP",9781612101033,English,Adult,No
Cavecat Pete (unabridged),Pete the Cat,"Dean, James",9780062367945,English,Juvenile,No
The Cay,,"Taylor, Theodore",9780307800145,English,Juvenile,No
The Cazuela that the Farm Maiden Stirred,,"Vamos, Samantha R.",9781607342694,English,Juvenile,No
Cecil the Pet Glacier,,"Harvey, Matthea",9780375987687,English,Juvenile,No
Celebrations / Celebraciones: Holidays of the United States of America and Mexico / Dias feriados de los Estados Unidos y Mexico,,"Tabor, Nancy María Grande",9781607342083,"English, Spanish; Castilian",Juvenile,No
The Cellar,Cellar,"Preston, Natasha",9781492600992,English,Adult,No
Cerdos en la granja (Pigs on the Farm),Animales de la granja (Farm Animals),"Harris, Bizzy",9781645278818,Spanish; Castilian,Juvenile,Yes
Chain Reaction,Perfect Chemistry,"Elkeles, Simone",9780802723444,English,Adult,No
The Challenge,Steel Trapp,"Pearson, Ridley",9781423141143,English,Juvenile,No
Challenger Deep (unabridged),,"Shusterman, Neal",9780062368041,English,Adult,No
Challenger Deep,,"Shusterman, Neal",9780062231727,English,Adult,No
Champion (unabridged),Legend,"Lu, Marie",9781666587692,English,Young adult,No
Champion,Legend,"Lu, Marie",9780698135413,English,Young adult,No
The Chance to Fly,,"Stroker, Ali",9781683358978,English,Juvenile,Yes
Change-Up: Mystery at the World Series: Mystery at the World Series,Steve Thomas & Susan Carol Anderson Mystery,"Feinstein, John",9780375893513,English,Young adult,No
Charles and Emma: The Darwins' Leap of Faith (unabridged),,"Heiligman, Deborah",9780739380505,English,Young adult,No
Charlie and the Chocolate Factory,Charlie,"Dahl, Roald",9781101653678,English,Juvenile,No
Charlotte's Web (unabridged),,"White, E. B.",9780739330418,English,Juvenile,No
Charlotte's Web,,"White, E. B.",9780062406781,English,Juvenile,No
Charm,Crave,"Wolff, Tracy",9781649371294,English,Young adult,No
Chasing Orion,,"Lasky, Kathryn",9780763659981,English,Young adult,No
Cheater Pants,Junie B. Jones,"Park, Barbara",9780375894459,English,Juvenile,No
The Cheerleaders,THE CHEERLEADERS,"Thomas, Kara",9781524718343,English,Young adult,No
Cheetahs,Animal Safari,"Fleming, Dana",9781612115689,English,Juvenile,No
Cheetahs,Big Cats,"Brandle, Marie",9781645277187,English,Juvenile,Yes
Chengli and the Silk Road Caravan,,"Kang, Hildi",9781933718620,English,Juvenile,No
Cherish,Crave,"Wolff, Tracy",9781649373175,English,Young adult,No
The Cheshire Cheese Cat: A Dickens of a Tale (unabridged),,"Deedy, Carmen Agra",9780449010297,English,Juvenile,No
The Chestnut King (100 Cupboards Book 3),100 Cupboards,"Wilson, N. D.",9780375893209,English,Juvenile,No
Chew on This: Everything You Don't Want to Know About Fast Food,,"Wilson, Charles",9780547531168,English,Young adult,No
Chicago Bulls,NBA Champions,"Frisch, Aaron",9781566600859,English,Juvenile,No
Chickadees,Backyard Birds,"Fleming, Dana",9781648344008,English,Juvenile,Yes
Chicken Big,,"Graves, Keith",9781452103846,English,Juvenile,No
"Chicken Soup for the Teenage Soul: The Real Deal School: Cliques, Classes, Clubs, and More",,"Canfield, Jack",9781453276440,English,Young adult,No
Chickens on the Farm,Farm Animals,"Harris, Bizzy",9781645277026,English,Juvenile,Yes
Chihuahuas Are the Best!,Best Dogs Ever,"Landau, Elaine",9780761359692,English,Juvenile,No
Chike and the River,,"Achebe, Chinua",9780307742070,English,Juvenile,No
A Child Called It: One Child's Courage to Survive,,"Pelzer, Dave",9780757396076,English,Young adult,No
Children of Blood and Bone (unabridged),Legacy of Orisha,"Adeyemi, Tomi",9781427295507,English,Adult,No
Children of the Tipi: Life in the Buffalo Days,,"Fitzgerald, Michael Oren",9781937786229,English,Juvenile,No
Children of War,,"Ellis, Deborah",9781554980086,English,Young adult,No
Chim pinta,,"Ingalls, Ann",9781087609294,Spanish; Castilian,Juvenile,Yes
Chimpanzees,Animal Safari,"Fleming, Dana",9781612114927,English,Juvenile,No
Chinese Cinderella: The True Story of an Unwanted Chinese Daughter,,"Yen Mah, Adeline",9780307482808,English,Young adult,No
Chipmunks,Backyard Wildlife,"Fleming, Dana",9781612110028,English,Juvenile,No
Chirchir Is Singing,,"Cunnane, Kelly",9780375988745,English,Juvenile,No
The Chiru of High Tibet: A True Story,,"Martin, Jacqueline Briggs",9780547505824,English,Juvenile,No
The Chocolate War,Chocolate War,"Cormier, Robert",9780307834294,English,Adult,No
Chomp,,"Hiaasen, Carl",9780375898952,English,Juvenile,No
Chomp! the Truth About Sharks,,"Whipple, Annette",9781478885795,English,Juvenile,Yes
Chosen Ones,Lost Souls,"Truitt, Tiffany",9781620610015,English,Adult,No
A Christmas Carol: A Ghost Story of Christmas,,"Dickens, Charles",9781620112434,English,Young adult,Yes
Christmas Customs (unabridged),General Knowledge,iMinds,,English,Juvenile,No
Christmas in Camelot,Magic Tree House: Merlin Missions,"Pope Osborne, Mary",9780375894527,English,Juvenile,No
Christmas Tales of Terror,,"Priestley, Chris",9781408838402,English,Young adult,No
Chronicles of Avonlea,Chronicles of Avonlea,"Montgomery, L. M. (Lucy Maud)",9781620127773,English,Juvenile,Yes
The Chronicles of Harris Burdick: Fourteen Amazing Authors Tell the Tales,,"Van Allsburg, Chris",9780547677606,English,Young adult,No
Chunky: A Graphic Novel,,"Mercado, Yehudi",9780062972804,English,Juvenile,No
Cicadas,World of Insects,"Sexton, Colleen",9781612111711,English,Juvenile,No
Cinder (unabridged),The Lunar Chronicles,"Meyer, Marissa",9781427215017,English,Young adult,No
Cinder,The Lunar Chronicles,"Meyer, Marissa",9781466800113,English,Young adult,No
Cinderella,Discover Fairy Tales,"Lee, Calee M.",9781623953294,English,Juvenile,Yes
Cinderella (As If You Didn't Already Know the Story),,"Ensor, Barbara",9780307482952,English,Juvenile,No
Circe,,"Miller, Madeline",9780316556330,English,Adult,No
The Circuit,Circuit,"Jiménez, Francisco",9780547377209,English,Young adult,No
The Citadel,Classics Series,"Knaak, Richard",9780786963188,English,Adult,No
City of Ashes (unabridged),Mortal Instruments,"Clare, Cassandra",9780743572767,English,Adult,No
The City of Ember,Ember,"DuPrau, Jeanne",9780375890802,English,Juvenile,No
City of Glass (unabridged),Mortal Instruments,"Clare, Cassandra",9780743579643,English,Adult,No
City of Saints & Thieves,,"Anderson, Natalie C.",9780399547607,English,Young adult,No
Civil War on Sunday,Magic Tree House,"Pope Osborne, Mary",9780375894787,English,Juvenile,No
Clap When You Land (unabridged),,"Acevedo, Elizabeth",9780063011816,English,Young adult,No
Clap When You Land,,"Acevedo, Elizabeth",9780062882783,English,Young adult,No
Clash,Click,"Miller, Kayla",9780358531890,English,Juvenile,No
Class President: Class President,Marvin Redpost,"Sachar, Louis",9780307805720,English,Juvenile,No
"The Claw and Fang, Issue 3",The Claw and Fang,"Kutcher, Michael",,English,Adult,No
"The Claw and Fang, Issue 4",The Claw and Fang,"Kutcher, Michael",,English,Adult,No
Clever Jack Takes the Cake,,"Fleming, Candace",9780307982575,English,Juvenile,No
Clifford the Big Red Dog (unabridged),,"Bridwell, Norman",9781338246582,English,Juvenile,No
"The Clockwork Scarab: The Stoker & Holmes Novels, Book 1",Stoker & Holmes,"Gleason, Colleen",9781452129860,English,Young adult,No
The Clone Wars: Star Wars,Star Wars: The Clone Wars,"Traviss, Karen",9780307795960,English,Young adult,No
Close to the Heel,Seven,"McClintock, Norah",9781554699513,English,Juvenile,No
Clothes 100 Years Ago,Amicus Readers: 100 Years Ago (Level 2),"Lassieur, Allison",9781607533405,English,Juvenile,No
Clown Fish,Oceans Alive,"Fleming, Dana",9781612111308,English,Juvenile,No
Coalition of Lions,Arthurian Sequence,"Wein, Elizabeth",9781480433205,English,Young adult,No
Cobras,Snakes Alive,"Christian, David",9781612112381,English,Juvenile,No
Code: A Virals Novel,Virals,"Reichs, Kathy",9781101608586,English,Young adult,No
"The Code Book for Young People: How to Make It, Break It, Hack It, Crack It",,"Singh, Simon",9780375890123,English,Adult,No
Code Name Pauline: Memoirs of a World War II Special Agent,Women of Action,"Witherington Cornioley, Pearl",9781613744888,English,Young adult,No
Code Name Verity,,"Wein, Elizabeth",9781423153252,English,Adult,No
Code of Silence: Living a Lie Comes with a Price,Code of Silence,"Shoemaker, Tim",9780310726524,English,Young adult,No
The Coffin Quilt: The Feud between the Hatfields and the McCoys,Great Episodes,"Rinaldi, Ann",9780547416243,English,Young adult,No
Cold Springs: A Novel,,"Riordan, Rick",9780553897579,English,Adult,No
Cold White Sun,,"Holler, Sue Farrell",9781773060828,English,Adult,No
The Coldest Girl in Coldtown (unabridged),,"Black, Holly",9781478924708,English,Adult,No
The Coldest Girl in Coldtown,,"Black, Holly",9780316213110,English,Adult,No
The Collectors,,"West, Jacqueline",9780062691712,English,Juvenile,No
A Color of His Own,,"Lionni, Leo",9780307974266,English,Juvenile,No
Colosseum,Whole Wide World,"Spanier, Kristine, MLIS",9781645277309,English,Juvenile,Yes
Come Fall,,"Bauer, A.C.E.",9780375858277,English,Juvenile,No
"Come, Llamas",,"Morris, Jennifer",9780307517975,English,Juvenile,No
The Comedy of Errors,,"Shakespeare, William",9781620116128,English,Young adult,Yes
Commando: The Autobiography of Johnny Ramone,,"Ramone, Johnny",9781613121818,English,Young adult,No
"The Complete Cookbook for Teen Chefs: 70+ Teen-Tested and Teen-Approved Recipes to Cook, Eat and Share",,America's Test Kitchen Kids,9781948703963,English,Young adult,No
"The Complete Cookbook for Young Scientists: Good Science Makes Great Food: 70+ Recipes, Experiments, & Activities",Young Chefs,America's Test Kitchen Kids,9781948703673,English,Juvenile,No
Complete Stories and Poems of Edgar Allan Poe,,"Poe, Edgar Allan",9780307962485,English,Young adult,No
Con Academy,,"Schreiber, Joe",9780544320222,English,Young adult,No
Confessions of a Murder Suspect,Confessions,"Patterson, James",9780316207010,English,Young adult,No
Confessions of a Serial Kisser,,"Van Draanen, Wendelin",9780375849923,English,Young adult,No
Confessions of an Almost-Girlfriend,Confessions,"Rozett, Louise",9781460315248,English,Adult,No
Confessions of an Angry Girl,Confessions,"Rozett, Louise",9781459237919,English,Adult,No
"The Confidence Code for Girls: Taking Risks, Messing Up, & Becoming Your Amazingly Imperfect, Totally Powerful Self",,"Kay, Katty",9780062797001,English,Juvenile,No
A Confusion of Princes (unabridged),,"Nix, Garth",9780739368299,English,Adult,No
A Connecticut Yankee in King Arthur's Court,,"Twain, Mark",9781620110348,English,Young adult,Yes
Construction Destruction (unabridged),Pete the Cat,"Dean, James",9780062368126,English,Juvenile,No
Cooking Class: 57 Fun Recipes Kids Will Love to Make (and Eat!),Cooking Class,"Cook, Deanna F.",9781612124018,English,Juvenile,No
Cool Flexagon Art: Creative Activities that Make Math & Science Fun for Kids!: Creative Activities that Make Math & Science Fun for Kids!,Cool Art with Math & Science,"Hanson, Anders",9781624012150,English,Juvenile,No
Cool Optical Illusions: Creative Activities that Make Math & Science Fun for Kids!: Creative Activities that Make Math & Science Fun for Kids!,Cool Art with Math & Science,"Hanson, Anders",9781624012167,English,Juvenile,No
Cool Paper Folding: Creative Activities that Make Math & Science Fun for Kids!: Creative Activities that Make Math & Science Fun for Kids!,Cool Art with Math & Science,"Hanson, Anders",9781624012174,English,Juvenile,No
Cool Structures: Creative Activities that Make Math & Science Fun for Kids!: Creative Activities that Make Math & Science Fun for Kids!,Cool Art with Math & Science,"Hanson, Anders",9781624012198,English,Juvenile,No
Cool Zone with the Pain and the Great One,Pain and the Great One,"Blume, Judy",9780375848018,English,Juvenile,No
Coraline,,"Gaiman, Neil",9780061972638,English,Young adult,No
Corby Flood,Far-Flung Adventures,"Stewart, Paul",9780307495419,English,Juvenile,No
Corvette,Ultimate Cars Set 1,"McKenna, A. T.",9781617580031,English,Juvenile,No
Corvettes,Wild Wheels,"Niver, Heather Moore",9781433958199,English,Juvenile,No
The Couch Potato,The Food Group,"John, Jory",9780063026049,English,Juvenile,No
Cougars,Big Cats,"Brandle, Marie",9781645277200,English,Juvenile,Yes
The Count of Monte Cristo,,"Dumas, Alexandre",9781620114889,English,Young adult,Yes
Counting by 7s,,"Sloan, Holly Goldberg",9781101591352,English,Young adult,No
"Courage Has No Color, the True Story of the Triple Nickles: America's First Black Paratroopers",,"Stone, Tanya Lee",9780763668204,English,Young adult,No
"Courage to Soar: A Body in Motion, A Life in Balance",,"Biles, Simone",9780310759522,English,Young adult,No
Court,Crave,"Wolff, Tracy",9781649370617,English,Young adult,No
Courting Darkness,Courting Darkness Duology,"LaFevers, Robin",9781328527912,English,Adult,No
The Cousins (unabridged),,"McManus, Karen M.",9781984842152,English,Young adult,No
Cover-Up: Mystery at the Super Bowl: Mystery at the Super Bowl,Steve Thomas & Susan Carol Anderson Mystery,"Feinstein, John",9780375890710,English,Young adult,No
Covet,Crave,"Wolff, Tracy",9781682816158,English,Young adult,No
Cows on the Farm,Farm Animals,"Harris, Bizzy",9781645277040,English,Juvenile,Yes
CPR & Choking Relief,Speedy Study Guides,"Publishing, Speedy",9781680322071,English,Young adult,No
CPR and First Aid Care,Speedy Study Guides,"Publishing, MDK",9781681459028,English,Young adult,No
CPR & Lifesaving: a QuickStudy Laminated Reference Guide,,"BarCharts Publishing, Inc.",9781423218791,English,Young adult,No
CPR Lifesaving Reference Guide,Speedy Study Guides,"Publishing, Speedy",9781635014150,English,Young adult,No
"The Crabby Cat Caper: Cul-de-Sac Kids Series, Book 12",Cul-de-sac Kids,"Lewis, Beverly",9781441260734,English,Juvenile,No
Cranes,Mighty Machines,"Christian, David",9781612110233,English,Juvenile,No
Crash,,"Spinelli, Jerry",9780307555397,English,Young adult,No
Crave (unabridged),Crave,"Wolff, Tracy",9781705219614,English,Young adult,No
Crave,Crave,"Wolff, Tracy",9781640638969,English,Young adult,No
The Craving: Stefan's Diaries #3: The Craving (unabridged),The Vampire Diaries: Stefan's Diaries,"Smith, L. J.",9780062005564,English,Adult,No
"The Crazy Case of Missing Thunder: Goofballs Series, Book 1",Goofballs,"Abbott, Tony",9781606842980,English,Juvenile,No
A Crazy Day with Cobras,Magic Tree House: Merlin Missions,"Pope Osborne, Mary",9780375898754,English,Juvenile,No
Crazy for Comics,Bumble Brothers,"Metzger, Steve",9781478875840,English,Juvenile,Yes
Crazy Horse,Horses of Half Moon Ranch,"Oldfield, Jenny",9781402268823,English,Juvenile,No
The Crazy Things Girls Do for Love,,"Sheldon, Dyan",9780763656263,English,Young adult,No
Creating Digital Animations: Animate Stories with Scratch!,Dummies Junior,"Breen, Derek",9781119233558,English,Juvenile,No
Creative Problem Solving: A Guide for Trainers and Management,,"Gundy, Arthur B Van",9780313388484,English,Young adult,No
Creative Thinkering: Putting Your Imagination to Work,,"Michalko, Michael",9781608680252,English,Young adult,No
Creepy Cemeteries,World's Scariest Places,"Wood, Alix",9781482460711,English,Juvenile,No
Creepy Creatures: A Graphic Novel,Goosebumps Graphix,"Stine, R. L.",9780545323468,English,Juvenile,No
Creepy Pair of Underwear!,Creepy Tales!,"Reynolds, Aaron",9781481476706,English,Juvenile,No
"Creepy Stories: Ghosts, Mysteries, and Other Spooky Tales",,"McLellan, Kelly Anne",9798886509021,English,Juvenile,Yes
Crescendo (unabridged),"Hush, Hush","Fitzpatrick, Becca",9781442334205,English,Adult,No
Cress (unabridged),The Lunar Chronicles,"Meyer, Marissa",9781427236289,English,Young adult,No
Cress,The Lunar Chronicles,"Meyer, Marissa",9781250053183,English,Young adult,No
